batch,loss,batches / s
0,3.86852,57.30039350522387
100,2.90989,0.6440565123448869
200,2.8308,0.652566986786022
300,2.22818,0.6520267881195401
400,1.90528,0.651392591640521
500,1.70113,0.6412230260778305
600,1.57823,0.6486266814176633
700,1.49396,0.6445982895430187
800,1.44053,0.6456896185694782
900,1.41797,0.6447800043868304
1000,1.39281,0.6340005904424348
1100,1.31146,0.6335373630437074
1200,1.32725,0.6457646267977235
1300,1.35485,0.6511973804920619
1400,1.27218,0.6511669225217361
1500,1.29448,0.6325885126382318
1600,1.26695,0.6500261535200031
1700,1.29331,0.6602323496825699
1800,1.23163,0.6577319014783441
1900,1.2578,0.6614000176054636
2000,1.25971,0.6526148114853594
2100,1.23356,0.6607561331014492
2200,1.26168,0.660573100472857
2300,1.28756,0.6625760631042382
2400,1.17494,0.6565800776183579
2500,1.18897,0.658141734763237
2600,1.16056,0.6563352752491132
2700,1.2572,0.6593207353933512
2800,1.21214,0.6558392853001996
2900,1.18873,0.6529326799137136
3000,1.18047,0.6558427812425879
3100,1.18423,0.6608362540092061
3200,1.21657,0.7046987863316859
3300,1.14143,0.6608177203984911
3400,1.20073,0.6601921526754796
3500,1.12006,0.6616130945364583
3600,1.24424,0.6590673993219726
3700,1.14478,0.6582014546512899
3800,1.15362,0.6554771808846465
3900,1.17274,0.6603478393844077
4000,1.15679,0.65717373893626
4100,1.12055,0.6574280240827177
4200,1.12796,0.6575830767228471
4300,1.12217,0.6609078640465083
4400,1.20187,0.6576728535382454
4500,1.15179,0.6592702617160708
4600,1.15737,0.6562999743581186
4700,1.11125,0.6577694846491015
4800,1.1314,0.6574545660109447
4900,1.14509,0.6579406240612398
5000,1.12353,0.6571975757654007
5100,1.1456,0.6601572960229736
5200,1.12356,0.658831200416414
5300,1.02337,0.6571107298501847
5400,1.10991,0.6571023005896794
5500,1.0812,0.6594292212941342
5600,1.1402,0.658693978543187
5700,1.10925,0.6600455312170033
5800,1.09841,0.6550455085573073
5900,1.12509,0.6595902521947679
6000,1.1137,0.6582843293906686
6100,1.1363,0.6569887953293857
6200,1.08655,0.6578345288653761
6300,1.03976,0.6636526824632932
6400,1.13259,0.657525122352692
6500,1.11218,0.6540021882474779
6600,1.05637,0.6587934575380409
6700,1.09032,0.6605773930085033
6800,1.08656,0.6589407271543419
6900,1.10793,0.6602012901019466
7000,1.11756,0.6617546196772519
7100,1.08053,0.6549318638772662
7200,1.09929,0.6544832940618505
7300,1.00554,0.659344879557905
7400,1.06181,0.6605687757423905
7500,1.06683,0.6575698240133149
7600,1.06406,0.6735244124802999
7700,1.0616,0.6799340786683092
7800,1.13182,0.6920473413455057
7900,1.06567,0.7161608278598867
8000,1.12474,0.6426956737157355
8100,1.07843,0.7326884405993306
8200,1.05804,0.7540558012086941
8300,1.0662,0.7570525315259834
8400,1.05964,0.7537056399401598
8500,1.09091,0.7572798668895983
8600,1.13732,0.7544176576997874
8700,1.07532,0.7548644549864125
8800,1.06053,0.7574371173164488
8900,1.0544,0.756002146724655
9000,1.13854,0.7549511803202171
9100,1.06894,0.7547977692868764
9200,1.06791,0.7578058321189279
9300,1.07474,0.752366361525592
9400,1.07756,0.757991810439692
9500,1.06141,0.7547532815761625
9600,1.10292,0.7542150733713563
9700,1.01795,0.7549120102142235
9800,1.0344,0.7544716098115508
9900,1.05188,0.7559879998973993
